test,base,strengthened,a100,h100,gh200
wrw_2w_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_REL,INSTANCE,INSTANCE,not seen,not seen,not seen
wrw_2w_TB_0_12_SCOPE_BLOCK_NO_FENCE_ACQUIRE,INSTANCE,INSTANCE,not seen,not seen,not seen
wrw_2w_TB_0_12_SCOPE_BLOCK_NO_FENCE_RELAXED,INSTANCE,INSTANCE,not seen,not seen,not seen
wrw_2w_TB_0_12_SCOPE_BLOCK_NO_FENCE_RELEASE,INSTANCE,INSTANCE,not seen,not seen,not seen
wrw_2w_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
wrw_2w_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
wrw_2w_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
wrw_2w_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_REL,INSTANCE,INSTANCE,not seen,not seen,not seen
wrw_2w_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
wrw_2w_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
wrw_2w_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
wrw_2w_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_REL,INSTANCE,INSTANCE,not seen,not seen,not seen
wrw_2w_TB_0_12_SCOPE_DEVICE_NO_FENCE_ACQUIRE,INSTANCE,INSTANCE,not seen,not seen,not seen
wrw_2w_TB_0_12_SCOPE_DEVICE_NO_FENCE_RELAXED,INSTANCE,INSTANCE,not seen,not seen,not seen
wrw_2w_TB_0_12_SCOPE_DEVICE_NO_FENCE_RELEASE,INSTANCE,INSTANCE,not seen,not seen,not seen
wrw_2w_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_BOTH_FENCE,INSTANCE,INSTANCE,seen,seen,seen
wrw_2w_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE,INSTANCE,INSTANCE,seen,seen,seen
wrw_2w_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_ACQ,INSTANCE,INSTANCE,seen,seen,seen
wrw_2w_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_REL,INSTANCE,INSTANCE,seen,seen,seen
wrw_2w_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
wrw_2w_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE,INSTANCE,INSTANCE,seen,seen,seen
wrw_2w_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_ACQ,INSTANCE,INSTANCE,seen,seen,not seen
wrw_2w_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_REL,INSTANCE,INSTANCE,seen,seen,seen
wrw_2w_TB_0_1_2_SCOPE_BLOCK_NO_FENCE_ACQUIRE,INSTANCE,INSTANCE,seen,seen,seen
wrw_2w_TB_0_1_2_SCOPE_BLOCK_NO_FENCE_RELAXED,INSTANCE,INSTANCE,seen,seen,seen
wrw_2w_TB_0_1_2_SCOPE_BLOCK_NO_FENCE_RELEASE,INSTANCE,INSTANCE,seen,seen,seen
wrw_2w_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_BOTH_FENCE,INSTANCE,INSTANCE,seen,seen,seen
wrw_2w_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE,INSTANCE,INSTANCE,seen,seen,not seen
wrw_2w_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_ACQ,INSTANCE,INSTANCE,seen,seen,seen
wrw_2w_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_REL,INSTANCE,INSTANCE,seen,seen,seen
wrw_2w_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
wrw_2w_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
wrw_2w_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
wrw_2w_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_REL,INSTANCE,INSTANCE,not seen,not seen,not seen
wrw_2w_TB_0_1_2_SCOPE_DEVICE_NO_FENCE_ACQUIRE,INSTANCE,INSTANCE,not seen,not seen,not seen
wrw_2w_TB_0_1_2_SCOPE_DEVICE_NO_FENCE_RELAXED,INSTANCE,INSTANCE,seen,seen,seen
wrw_2w_TB_0_1_2_SCOPE_DEVICE_NO_FENCE_RELEASE,INSTANCE,INSTANCE,not seen,not seen,not seen
wrw_2w_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_BOTH_FENCE,INSTANCE,INSTANCE,seen,seen,seen
wrw_2w_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE,INSTANCE,INSTANCE,seen,seen,seen
wrw_2w_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_ACQ,INSTANCE,INSTANCE,seen,seen,seen
wrw_2w_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_REL,INSTANCE,INSTANCE,seen,seen,seen
wrw_2w_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
wrw_2w_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE,INSTANCE,INSTANCE,seen,seen,not seen
wrw_2w_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
wrw_2w_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_REL,INSTANCE,INSTANCE,seen,seen,not seen
wrw_2w_TB_1_02_SCOPE_BLOCK_NO_FENCE_ACQUIRE,INSTANCE,INSTANCE,seen,seen,seen
wrw_2w_TB_1_02_SCOPE_BLOCK_NO_FENCE_RELAXED,INSTANCE,INSTANCE,seen,seen,seen
wrw_2w_TB_1_02_SCOPE_BLOCK_NO_FENCE_RELEASE,INSTANCE,INSTANCE,seen,seen,seen
wrw_2w_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_BOTH_FENCE,INSTANCE,INSTANCE,seen,seen,seen
wrw_2w_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE,INSTANCE,INSTANCE,seen,seen,not seen
wrw_2w_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_ACQ,INSTANCE,INSTANCE,seen,seen,seen
wrw_2w_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_REL,INSTANCE,INSTANCE,seen,seen,not seen
wrw_2w_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
wrw_2w_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
wrw_2w_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
wrw_2w_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_REL,INSTANCE,INSTANCE,not seen,not seen,not seen
wrw_2w_TB_1_02_SCOPE_DEVICE_NO_FENCE_ACQUIRE,INSTANCE,INSTANCE,not seen,not seen,not seen
wrw_2w_TB_1_02_SCOPE_DEVICE_NO_FENCE_RELAXED,INSTANCE,INSTANCE,seen,seen,seen
wrw_2w_TB_1_02_SCOPE_DEVICE_NO_FENCE_RELEASE,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_012_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_BOTH_FENCE,UNSAT,UNSAT,not seen,not seen,not seen
wwc_TB_012_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_ACQ,UNSAT,UNSAT,not seen,not seen,not seen
wwc_TB_012_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_REL,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_012_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_012_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_REL,UNSAT,UNSAT,not seen,not seen,not seen
wwc_TB_012_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_BOTH_FENCE,UNSAT,UNSAT,not seen,not seen,not seen
wwc_TB_012_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_ACQ,UNSAT,UNSAT,not seen,not seen,not seen
wwc_TB_012_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_REL,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_012_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_012_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_REL,UNSAT,UNSAT,not seen,not seen,not seen
wwc_TB_012_SCOPE_BLOCK_NO_FENCE_ACQ_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_012_SCOPE_BLOCK_NO_FENCE_ACQ_REL,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_012_SCOPE_BLOCK_NO_FENCE_RELAXED,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_012_SCOPE_BLOCK_NO_FENCE_REL_ACQ,UNSAT,UNSAT,not seen,not seen,not seen
wwc_TB_012_SCOPE_BLOCK_NO_FENCE_REL_REL,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_012_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_BOTH_FENCE,UNSAT,UNSAT,not seen,not seen,not seen
wwc_TB_012_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_ACQ,UNSAT,UNSAT,not seen,not seen,not seen
wwc_TB_012_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_REL,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_012_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_012_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_REL,UNSAT,UNSAT,not seen,not seen,not seen
wwc_TB_012_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_BOTH_FENCE,UNSAT,UNSAT,not seen,not seen,not seen
wwc_TB_012_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_ACQ,UNSAT,UNSAT,not seen,not seen,not seen
wwc_TB_012_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_REL,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_012_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_012_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_REL,UNSAT,UNSAT,not seen,not seen,not seen
wwc_TB_012_SCOPE_DEVICE_NO_FENCE_ACQ_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_012_SCOPE_DEVICE_NO_FENCE_ACQ_REL,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_012_SCOPE_DEVICE_NO_FENCE_RELAXED,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_012_SCOPE_DEVICE_NO_FENCE_REL_ACQ,UNSAT,UNSAT,not seen,not seen,not seen
wwc_TB_012_SCOPE_DEVICE_NO_FENCE_REL_REL,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_BOTH_FENCE,INSTANCE,INSTANCE,seen,seen,seen
wwc_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_ACQ,INSTANCE,INSTANCE,seen,seen,seen
wwc_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_REL,INSTANCE,INSTANCE,seen,seen,seen
wwc_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_ACQ,INSTANCE,INSTANCE,seen,seen,seen
wwc_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_REL,INSTANCE,INSTANCE,seen,seen,seen
wwc_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_REL,INSTANCE,INSTANCE,seen,seen,seen
wwc_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_ACQ,INSTANCE,INSTANCE,seen,seen,seen
wwc_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_REL,INSTANCE,INSTANCE,seen,seen,seen
wwc_TB_01_2_SCOPE_BLOCK_NO_FENCE_ACQ_ACQ,INSTANCE,INSTANCE,seen,seen,seen
wwc_TB_01_2_SCOPE_BLOCK_NO_FENCE_ACQ_REL,INSTANCE,INSTANCE,seen,seen,seen
wwc_TB_01_2_SCOPE_BLOCK_NO_FENCE_RELAXED,INSTANCE,INSTANCE,seen,seen,seen
wwc_TB_01_2_SCOPE_BLOCK_NO_FENCE_REL_ACQ,INSTANCE,INSTANCE,seen,seen,seen
wwc_TB_01_2_SCOPE_BLOCK_NO_FENCE_REL_REL,INSTANCE,INSTANCE,seen,seen,seen
wwc_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_BOTH_FENCE,INSTANCE,INSTANCE,seen,seen,not seen
wwc_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_ACQ,INSTANCE,INSTANCE,seen,seen,not seen
wwc_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_REL,INSTANCE,INSTANCE,seen,seen,not seen
wwc_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_ACQ,INSTANCE,INSTANCE,seen,seen,not seen
wwc_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_REL,INSTANCE,INSTANCE,seen,seen,not seen
wwc_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_BOTH_FENCE,UNSAT,UNSAT,not seen,not seen,not seen
wwc_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_ACQ,UNSAT,UNSAT,not seen,not seen,not seen
wwc_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_REL,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_REL,UNSAT,UNSAT,not seen,not seen,not seen
wwc_TB_01_2_SCOPE_DEVICE_NO_FENCE_ACQ_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_01_2_SCOPE_DEVICE_NO_FENCE_ACQ_REL,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_01_2_SCOPE_DEVICE_NO_FENCE_RELAXED,INSTANCE,INSTANCE,seen,seen,seen
wwc_TB_01_2_SCOPE_DEVICE_NO_FENCE_REL_ACQ,UNSAT,UNSAT,not seen,not seen,not seen
wwc_TB_01_2_SCOPE_DEVICE_NO_FENCE_REL_REL,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_REL,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_REL,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_REL,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_REL,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_0_12_SCOPE_BLOCK_NO_FENCE_ACQ_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_0_12_SCOPE_BLOCK_NO_FENCE_ACQ_REL,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_0_12_SCOPE_BLOCK_NO_FENCE_RELAXED,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_0_12_SCOPE_BLOCK_NO_FENCE_REL_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_0_12_SCOPE_BLOCK_NO_FENCE_REL_REL,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_BOTH_FENCE,UNSAT,UNSAT,not seen,not seen,not seen
wwc_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_ACQ,UNSAT,UNSAT,not seen,not seen,not seen
wwc_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_REL,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_REL,UNSAT,UNSAT,not seen,not seen,not seen
wwc_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_BOTH_FENCE,UNSAT,UNSAT,not seen,not seen,not seen
wwc_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_ACQ,UNSAT,UNSAT,not seen,not seen,not seen
wwc_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_REL,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_REL,UNSAT,UNSAT,not seen,not seen,not seen
wwc_TB_0_12_SCOPE_DEVICE_NO_FENCE_ACQ_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_0_12_SCOPE_DEVICE_NO_FENCE_ACQ_REL,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_0_12_SCOPE_DEVICE_NO_FENCE_RELAXED,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_0_12_SCOPE_DEVICE_NO_FENCE_REL_ACQ,UNSAT,UNSAT,not seen,not seen,not seen
wwc_TB_0_12_SCOPE_DEVICE_NO_FENCE_REL_REL,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_BOTH_FENCE,INSTANCE,INSTANCE,seen,seen,seen
wwc_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_ACQ,INSTANCE,INSTANCE,seen,seen,seen
wwc_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_REL,INSTANCE,INSTANCE,seen,seen,seen
wwc_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_ACQ,INSTANCE,INSTANCE,seen,seen,seen
wwc_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_REL,INSTANCE,INSTANCE,seen,seen,seen
wwc_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_REL,INSTANCE,INSTANCE,seen,seen,seen
wwc_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_ACQ,INSTANCE,INSTANCE,seen,seen,not seen
wwc_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_REL,INSTANCE,INSTANCE,seen,seen,seen
wwc_TB_0_1_2_SCOPE_BLOCK_NO_FENCE_ACQ_ACQ,INSTANCE,INSTANCE,seen,seen,seen
wwc_TB_0_1_2_SCOPE_BLOCK_NO_FENCE_ACQ_REL,INSTANCE,INSTANCE,seen,seen,seen
wwc_TB_0_1_2_SCOPE_BLOCK_NO_FENCE_RELAXED,INSTANCE,INSTANCE,seen,seen,seen
wwc_TB_0_1_2_SCOPE_BLOCK_NO_FENCE_REL_ACQ,INSTANCE,INSTANCE,seen,seen,seen
wwc_TB_0_1_2_SCOPE_BLOCK_NO_FENCE_REL_REL,INSTANCE,INSTANCE,seen,seen,seen
wwc_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_BOTH_FENCE,INSTANCE,INSTANCE,seen,seen,not seen
wwc_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_ACQ,INSTANCE,INSTANCE,seen,seen,not seen
wwc_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_REL,INSTANCE,INSTANCE,seen,seen,not seen
wwc_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_ACQ,INSTANCE,INSTANCE,seen,seen,not seen
wwc_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_REL,INSTANCE,INSTANCE,seen,seen,not seen
wwc_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_BOTH_FENCE,UNSAT,UNSAT,not seen,not seen,not seen
wwc_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_ACQ,UNSAT,UNSAT,not seen,not seen,not seen
wwc_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_REL,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_REL,UNSAT,UNSAT,not seen,not seen,not seen
wwc_TB_0_1_2_SCOPE_DEVICE_NO_FENCE_ACQ_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_0_1_2_SCOPE_DEVICE_NO_FENCE_ACQ_REL,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_0_1_2_SCOPE_DEVICE_NO_FENCE_RELAXED,INSTANCE,INSTANCE,seen,seen,seen
wwc_TB_0_1_2_SCOPE_DEVICE_NO_FENCE_REL_ACQ,UNSAT,UNSAT,not seen,not seen,not seen
wwc_TB_0_1_2_SCOPE_DEVICE_NO_FENCE_REL_REL,INSTANCE,INSTANCE,not seen,not seen,not seen
wwc_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_BOTH_FENCE,INSTANCE,INSTANCE,seen,seen,not seen
wwc_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_ACQ,INSTANCE,INSTANCE,seen,seen,not seen
wwc_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_REL,INSTANCE,INSTANCE,seen,seen,seen
wwc_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_ACQ,INSTANCE,INSTANCE,seen,seen,not seen
wwc_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_REL,INSTANCE,INSTANCE,seen,seen,seen
wwc_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
